datetime,power,temp,dew,precip,snow,windspeed,winddir,cloudcover,solarradiation,uvindex,Day sin,Day cos,Month sin,Month cos,Year sin,Year cos
2020-01-01 00:00:00,0.0,0.9,0.0,0.0,0.0,12.6,21.0,0.0,0.0,0.0,-7.670342280126244e-12,1.0,-0.8660254037850614,0.49999999999892136,-0.002150345477629785,0.9999976880044907
2020-01-01 01:00:00,0.0,1.0,-0.1,0.0,0.0,9.0,21.0,0.0,0.0,0.0,0.25881904509001374,0.9659258262924195,-0.8549118706735064,0.518773258159599,-0.0014335642655294702,0.9999989724462204
2020-01-01 02:00:00,0.0,0.9,-0.2,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.4999999999968181,0.8660254037862757,-0.843391445813376,0.5372996083460543,-0.0007167823168968713,0.9999997431115221
2020-01-01 03:00:00,0.0,0.2,-1.0,0.0,0.0,8.6,21.0,0.0,0.0,0.0,0.7071067811802175,0.7071067811928775,-0.8314696123029597,0.5555702330189819,1.964386723728472e-15,1.0
2020-01-01 04:00:00,0.0,-1.1,-1.8,0.0,0.0,8.7,21.0,0.0,0.0,0.0,0.8660254037845997,0.4999999999997211,-0.8191520442893242,0.5735764363505714,0.0007167823169008001,0.9999997431115221
2020-01-01 05:00:00,0.0,-1.3,-1.7,0.0,0.0,3.6,51.0,0.0,0.0,0.0,0.9659258262877857,0.25881904510730774,-0.8064446042677268,0.5913096483632493,0.0014335642655333989,0.9999989724462204
2020-01-01 06:00:00,2.0,-0.9,-1.3,0.0,0.0,1.5,350.0,0.0,0.0,0.0,1.0,1.0233686431720763e-11,-0.7933533402913852,0.6087614290085251,0.0021503454776337135,0.9999976880044907
2020-01-01 07:00:00,360.0,-0.8,-1.2,0.0,0.0,2.9,90.0,13.0,4.7,0.0,0.9659258262893167,-0.2588190451015938,-0.7798844830929319,0.6259234721839967,0.0028671255849360747,0.9999958897869932
2020-01-01 08:00:00,1558.0,-0.7,-1.0,0.0,0.0,7.9,30.0,0.0,11.0,0.0,0.8660254037875574,-0.49999999999459815,-0.7660444431189224,0.6427876096866056,0.003583904219175381,0.9999935777946515
2020-01-01 09:00:00,2556.0,-0.7,-1.2,0.0,0.0,6.8,11.0,0.0,35.0,0.0,0.7071067811946901,-0.707106781178405,-0.7518398074788105,0.6593458151002591,0.0043006810120872875,0.9999907520286536
2020-01-01 10:00:00,3764.0,-0.2,-0.6,0.0,0.0,4.4,60.0,0.0,63.0,1.0,0.500000000001941,-0.866025403783318,-0.7372773368110694,0.6755902076146285,0.005017455595408396,0.9999874124904513
2020-01-01 11:00:00,4510.0,0.3,-0.1,0.0,0.0,5.8,50.0,0.0,75.0,1.0,0.2588190451097837,-0.9659258262871222,-0.7223639620606082,0.6915130557813788,0.005734227600933285,0.9999835591817601
2020-01-01 12:00:00,4554.0,0.4,-0.1,0.0,0.0,6.9,40.0,0.0,76.0,1.0,1.2797030583315281e-11,-1.0,-0.7071067811873016,0.7071067811857934,0.0064509966602873305,0.9999791921045602
2020-01-01 13:00:00,4490.0,0.3,-0.2,0.0,0.0,3.3,30.0,0.0,68.0,1.0,-0.25881904509911785,-0.9659258262899801,-0.6915130557829194,0.7223639620591333,0.00716776240526795,0.9999743112610952
2020-01-01 14:00:00,4116.0,0.1,-0.2,0.0,0.0,2.9,128.0,0.0,42.0,0.0,-0.49999999999237826,-0.8660254037888391,-0.6755902076162009,0.7372773368096286,0.007884524467617421,0.9999689166538726
2020-01-01 15:00:00,3148.0,0.1,-0.4,0.0,0.0,4.7,49.0,0.0,17.0,0.0,-0.7071067811868821,-0.707106781186213,-0.6593458151004951,0.7518398074786036,0.008601282479079913,0.9999630082856641
2020-01-01 16:00:00,2138.0,-0.3,-0.8,0.0,0.0,6.1,150.0,0.0,5.0,0.0,-0.8660254037820363,-0.5000000000041609,-0.642787609686846,0.7660444431187207,0.009318036071401676,0.9999565861595052
2020-01-01 17:00:00,464.0,-0.3,-0.6,0.0,0.0,6.1,160.0,0.0,0.0,0.0,-0.9659258262864587,-0.2588190451122597,-0.6259234721842415,0.7798844830927354,0.010034784876331233,0.9999496502786956
2020-01-01 18:00:00,26.0,-0.3,-0.6,0.0,0.0,3.6,51.0,0.0,0.0,0.0,-1.0,-8.084595065429481e-13,-0.6087614290087741,0.7933533402911942,0.010751528525619565,0.9999422006467987
2020-01-01 19:00:00,0.0,-0.3,-0.6,0.0,0.0,3.6,69.0,0.0,0.0,0.0,-0.9659258262906435,0.25881904509664183,-0.5913096483635024,0.8064446042675412,0.0114682666510203,0.9999342372676421
2020-01-01 20:00:00,0.0,-0.3,-0.8,0.0,0.0,2.9,88.0,77.0,0.0,0.0,-0.8660254037901207,0.4999999999901583,-0.5735764363508284,0.8191520442891441,0.012184998884289906,0.9999257601453169
2020-01-01 21:00:00,0.0,-0.4,-1.0,0.0,0.0,4.6,170.0,75.4,0.0,0.0,-0.7071067811880255,0.7071067811850695,-0.5555702330207554,0.8314696123017747,0.01290172485718788,0.9999167692841787
2020-01-01 22:00:00,0.0,0.1,-1.0,0.0,0.0,7.9,220.0,73.9,0.0,0.0,-0.5000000000063809,0.8660254037807547,-0.5372996083478531,0.84339144581223,0.013618444201476931,0.9999072646888466
2020-01-01 23:00:00,0.0,0.1,-1.1,0.0,0.0,3.3,170.0,74.7,0.0,0.0,-0.25881904511473575,0.9659258262857953,-0.5187732581614224,0.8549118706723999,0.014335156548923176,0.9998972463642041
2020-01-02 00:00:00,0.0,0.2,-1.0,0.0,0.0,5.4,220.0,73.9,0.0,0.0,-3.3718036581374667e-12,1.0,-0.5000000000007684,0.866025403783995,0.01505186153129633,0.9998867143153982
